Reviewer,Rating,Title,Date,Body
Kambam S Raghunath,2.0,"Not real one, product added with water.",24 April 2021,"Scent is very less, not original one, some one might added water in half of the bottle and sell it in less price. Mosquitoes are still inside. Original product I used previously bought from shops have very good scent and power to kill mosquitoes.
One person found this helpful"
Binni,2.0,not effective,18 April 2021,not effective
Prashant,2.0,Waste of money,14 April 2021,Unalbe to kill mosquitos
ankur,2.0,Very poor products,8 April 2021,Liquid not working against mosquito. Unable to stop mosquito. Very useless product
Nitin Sharma,2.0,Out of 4 bottles one is broken using the rest,4 April 2021,One good night bottle the stick was broken unable to use one of 4
Vishal K.,2.0,doesnt work well,31 March 2021,it doesnt fit all machines and is not that effective
Trina Sengupta,2.0,Not worth buying,15 March 2021,"Smells like origìnal, bt doesnt work. Mosquitoes keep roaming aroun even if the + mde is on."
MD QASIM,2.0,Waste of money....after almost 2 month's of use ..,8 March 2021,Now a days there is no affect of goodknight on mosquito killing because of mutation so it's better to don't waste your money on any such products instead use agarbati or egg foil .
Kush singh,2.0,Very bad condition shipment delivered,18 February 2021,Very bad product
Rohit,2.0,Not good,3 February 2021,"Not sure of quality,

As I find usage quality is surprisingly bad.

Not sure if its fake product."
Farhan,2.0,Everything should be sealed inside,21 January 2021,Package was open already and one of six piece is missing inside the packet
AD,2.0,quality is ok but not much effective on mosquitos,27 December 2020,quality is ok but not much effective on mosquitos
Placeholder,2.0,Shortage of delivery.,20 December 2020,Instead of 6 refills I received only 5 refills. Moreover slight cut was noticed. Pl send another refill immediately.
Janhavi,2.0,Not happy,15 November 2020,These dont fit too well :(
Kapil,2.0,Price mention,20 October 2020,Mentioned price on box is less then bill.
Nageswara r.,2.0,Not good quality,24 September 2020,It's not good action. Dissatisfied
SANJEEV PANDIT,2.0,Is not much effective,14 August 2020,The liquid fails to ward off mosquitoes. I tried it but found that mosquitoes still stung
suhail iqbal,2.0,Poor,14 August 2020,Poor performance
Soumi Mitra,2.0,packet broken,2 August 2020,"packet is broken, two mosquito oil container are outside of packet, cap of one such container is open."
David,2.0,Difference between direct and online product..,6 July 2020,Difference between direct and online product..
satya,2.0,Unclear description,11 June 2020,I thought that it will include heater part also. It had four refills unexpectedly
R Karn,2.0,Costly - Avoid buying it,5 May 2020,"It's a costly pack, Nothing extra. Buy individual products instead of this combo pack. Individual pack available at Rs 60. But this pack cost me around Rs 76.50 each for the same 45ml each."
DOMINIC,2.0,Not entirely genuine.,8 March 2020,"Not all the bottles in the pack work the same way.
Few are quite effective and few are just sorta fake.."
Sneha,2.0,Fishy,6 March 2020,"Unsealed pack with different cap. When i used earlier it was grey and now I've received one with a transparent cap. I'm really doubtful if it is authentic as it has no seal and the box is lying flat in the package.
Customer image
One person found this helpful"
Om Nath Singh,2.0,Worst product,2 March 2020,"When liquid goes half, it will not work"
Naveen Kumar,2.0,Worst thing or might be duplicate,28 February 2020,There is no effect of this liquid
Ramendra Pratap Singh,2.0,Not good,14 February 2020,Not good
Arjun Gangwar,2.0,Delivery concern,24 January 2020,"Product is good but,bit delivery is not so good .it is delivered in a very thin plastic bag and this condition is cleared in photo.
Customer image
One person found this helpful"
Srikanta Mallick,2.0,Dont buy not original.,19 January 2020,no smell at all.
Bijal,2.0,Not very good and not bad.,14 January 2020,"This is different from Good knight advance one which we get in market. Smell wise it is less & not the one like Advance+ refill.
Delivery was on the same day so good Amazon.

Please do not buy this."
Shyamaprasad ghosh,2.0,Not money sever,30 December 2019,Ok
Polaiah D,2.0,Very useful,11 December 2019,Good product
Radhika,2.0,Ok,9 December 2019,"Doesn't fit the machine shown, only useful for regular machine"
Pinki sharma,2.0,Broken,1 December 2019,One refill is broken from inside
swapan kumar chakma(pulak),2.0,Useful,29 November 2019,Ok
Pavankumar Prakya,2.0,Did not like the experience,24 November 2019,Did not like the experience
ANANDA RAO KOYYANA,2.0,Nice,20 November 2019,Nice
MD SHAHID,2.0,Good,17 November 2019,High price
Alpika Raikar,2.0,Bad,13 November 2019,Bad
Rajkumar,2.0,Only Packing is Jumbo,11 October 2019,"Good knight is making customers fool by printing as""jumbo pack"". Only the cover is jumbo. Liquid same 45ml only.
Customer image
2 people found this helpful"
Vishal,2.0,"Not original product, very very inefective",9 October 2019,Locally better deal available. And importantly I doubt its not genuine Godrej goodknight refill. Very very inefective.
Viji,2.0,Can't check the units,9 October 2019,One of refill stem was broken
P.Kishore Kumar,3.0,Nothing,27 June 2025,Good
Devika,3.0,Good,16 June 2025,For mosquito repellent….
Nancy v f,3.0,Product ok,9 June 2025,Package was broken
Shashikant Rathore,3.0,Good product,2 June 2025,Good product
Karanpreet kaur,3.0,🤩,24 May 2025,"The product has good but I got 2 days late it just happened because of delivery partner because he kept my product and 2 days he was on leave so I had to wait for 2 days to received my product.
Customer image
Customer image
Customer image"
Anil Gupta,3.0,Ok,11 January 2025,Ok
Velaravinthrajchitrarasu,3.0,Good knight,4 December 2024,Fast vapouriser
Vaghela Rajendrakumar Dilipbhai,3.0,Good,4 December 2024,Good
Placeholder,3.0,product,31 October 2024,ok quality.
A D,3.0,Good,12 October 2024,"Good
Customer image
Customer image
Customer image"
Mahesh Krishna,3.0,Good product,7 October 2024,One or two products are leaking packing is very bad but product is good every one knows.
ASHWINI KUMAR,3.0,Avarag quality,3 April 2024,Avarag quality
Pawan Pandey,3.0,Good,28 January 2024,Good product
Dr. Pravin Shankar,3.0,Ok,23 October 2023,"Product is ok but stick in the refill pack in all the pieces is black instead of pink as shown in the picture. Whether genuine or not is doubtful. Otherwise, fresh stock (Mfd - 04/23) with appropriate packaging has been sent.
15 people found this helpful"
Rahul Kumar,3.0,"You must use this 24/7, or no effect",9 October 2023,"It's usefull if you use this 24/7 non stop. Mosquito stays in room waiting for you to switch off the machine. Lol
2 people found this helpful"
Amazon Customer,3.0,Product,9 August 2023,"It's not the same as mentioned in the photo. It does not have red stick it has black stick.
Customer image
Customer image
3 people found this helpful"
Amazon Customer,3.0,Good,13 July 2023,*
Placeholder,3.0,Old product was delivered,16 March 2023,Old version of the product was delivered
"Liquid Battle Machine is not getting locked, old lock status,",3.0,***,9 February 2023,used mosquito
DULAL MODAK,3.0,Excellent,22 January 2023,Excellent
Nipun Bahri,3.0,Product is ok?,16 January 2023,Doesn't kill mosquitoes as expected.
Sundhar.S,3.0,Simply waste of money,8 January 2023,"disappointment with price so cheating
Customer image"
Amruta,3.0,Good familiar product,12 November 2022,"Have been using for long time. Somehow the new units leaks. Could be one-off xase. Will check for next bottle, when I use it."
PIJUSH c.,3.0,Nice one,27 October 2022,Good
Jessy,3.0,Not bad,25 October 2022,It’s an average product
Balbant Prasad,3.0,Quality is not better,29 September 2022,"Click to play video
It is not 2x more power,it simple"
rajesh,3.0,Good,17 September 2022,Good
Sree,3.0,Ok,6 September 2022,Ok
Shashwat,3.0,Life of a refill is very less,27 August 2022,It is getting finished in about 15-20 days for only night time use. By my estimation six of them will be used up in 4 months.
Gopal Kumar,3.0,Nice,21 August 2022,Nice to
Nipun Bahri,3.0,Product is ok?,16 January 2023,Doesn't kill mosquitoes as expected.
Sundhar.S,3.0,Simply waste of money,8 January 2023,"disappointment with price so cheating
Customer image"
Amruta,3.0,Good familiar product,12 November 2022,"Have been using for long time. Somehow the new units leaks. Could be one-off xase. Will check for next bottle, when I use it."
PIJUSH c.,3.0,Nice one,27 October 2022,Good
Jessy,3.0,Not bad,25 October 2022,It’s an average product
Balbant Prasad,3.0,Quality is not better,29 September 2022,"Click to play video
It is not 2x more power,it simple"
rajesh,3.0,Good,17 September 2022,Good
Sree,3.0,Ok,6 September 2022,Ok
Shashwat,3.0,Life of a refill is very less,27 August 2022,It is getting finished in about 15-20 days for only night time use. By my estimation six of them will be used up in 4 months.
Gopal Kumar,3.0,Nice,21 August 2022,Nice to
Satish nayak,3.0,Not a good purchase.,24 July 2022,Nope.
Ashfaq Nagori,3.0,very Good protect,2 July 2022,Bhut accha hai delivery bhut let huva tha
Siddhartha das,3.0,Not happy,14 June 2022,Not happy
Shailesh,3.0,Ok ok,30 May 2022,Mosquito nt get away so quantity should be increased or improve
VIVEK NEGI,3.0,Okay product,16 April 2022,The mosquitoes have become immune to good night refill. There is no effect on them by using good night refill. Good night should make better product
Harsh Kumar,3.0,Genune product,13 April 2022,Better than offline market.
Naba Kr Dey,3.0,Everage product,11 April 2022,"It is not good , good night liquid gold flash is more powrrful then it"
Nalinakhya Das,3.0,So so,26 March 2022,Soso
HARI KUMAR,3.0,One pcs missing,24 March 2022,"One pcs missing
Customer image
Customer image
One person found this helpful"
vipan saini,3.0,Good 👍,12 March 2022,Good product
Deepika,3.0,How dare the mosquito comes near to good night power active +?,14 February 2022,Not very effective against mosquitos
P.Harekrushna Reddy,3.0,"Not working, no use I have thrown out",7 January 2022,Waste Product
Askarali Syedmagdoom,3.0,good,18 December 2021,good
Grs N.,3.0,Ok,14 December 2021,Can use only for 15 days
K. K. Pandey,3.0,Short supply.. Got 5 instead of 6 in pack,3 December 2021,I purchased a pack of 6 refills but got only 5 in the packet
Dabeer Warsi,3.0,Ok,3 December 2021,Ok
Sayantan,3.0,The mosquitoes love it,28 November 2021,Read the title
Subhash,3.0,Only For 🤑 Bakwas D Itam,11 November 2021,"डुबरी कट है, High में मच्छर नहीं भागता है ✍️"
SHIVA NAIK,3.0,Not recommend,29 October 2021,Quality is poor....amazon may sold duplicate product....plss purchase offline
Santosh K.,3.0,Good,21 October 2021,Good
Debesh Pramanik,3.0,This is not the same Good Knight as which I used to buy from local stores,20 October 2021,"A broken & replicant product of Good Knight liquid has been sent to me today by Amazon. It has no smell , seems a thick water based solution . A duplicate product is being sold by Amazon. I want to return it & please don't fool your customer , A strict action is must taken on it !!
Customer image
Customer image
One person found this helpful"
Placeholder,3.0,Not up to the mark,19 October 2021,Not a quality product
subinoy SARKAR,3.0,Not so effective,5 October 2021,"Not recommended
One person found this helpful"
Bhullar,3.0,Good,10 September 2021,Like
Begum Sen,3.0,Pets feel unwell of the scent,9 September 2021,Pets feel unwell rare use
Sam,3.0,same MRP price available in market,8 September 2021,same price available in market not discount price dont like..this price
Sumit dahiya,3.0,Not to buy,8 August 2021,MRP is also same as offer price
CYRIL MATHEW,3.0,Nice,2 August 2021,Valueable
Kiran Manjunath,3.0,Leakage in Refill,28 July 2021,Observed that one of the Refills had developed a leak during usage! Very surprising .
R Venkataramani,3.0,Ok product,28 July 2021,Ok product
Madhavi S.,3.0,It's okay,23 July 2021,Good
ashok.j.nalwaya,3.0,Nice,19 July 2021,Nice
Sk Mukto,3.0,Is ok,14 July 2021,"Is ok
One person found this helpful"
amit mandal,3.0,Fast delivery,14 July 2021,Nice product.
Animesh Singh,3.0,3 out of 5,8 July 2021,mosquito will not bite when it's on when it turn off its party time for them this doesnot kill them .
Chandrakant Damle,3.0,Nil,5 July 2021,Masquito repellent
Gaurav Tomar,3.0,Doesn't kill mosquito,3 July 2021,"Does is really kill any mosquito? i dont see much effect.
One person found this helpful"
Dhanraj S.,3.0,Does not fit to every Good Knight machine,26 June 2021,"They should clearly mention that these refills do not fit to every Good Knight Machine.
So check which type of refill your machine needs.
It works good, but it is much costly as compare to other brands.
Fragrance is pretty strong, but not irritating.
One person found this helpful"
Shri Prakash Tripathi,3.0,Satisfactory,26 June 2021,Not so effective
NITIN DAS,3.0,Good,22 June 2021,Better than other brand
Rajesh Kumar,3.0,Just for our satisfaction. User for last 10 Years,15 June 2021,"It works. I bought it on ""Todays deal"" list with some discount."
sunil marwaha,3.0,Repellent,9 June 2021,Not suitable for express system plug as was previously mentioned by another user
ANISH RAJENDRAN,3.0,Waste buying 2in1,6 June 2021,No discount MRP price
Bkm,3.0,"MOSQUITOES LIKE THIS LIQUID , IT DOES NOT WORK !!!!!",30 May 2021,CLUB UP WITH MACHINE AND DO BETTER RESEARCH. MOSQUITOES DO NOT GO AT ALL . Do not just sell some fragrance liquid for easy money . MR GODREJ .
Amazon Customer,3.0,Average,28 May 2021,Average
Nikhita Suresh,3.0,Damaged seal open box delivery,25 May 2021,Delivered in damaged no seal condition. It was looking like some old stock
mintukumarsingh,3.0,Good,21 May 2021,Good
Shivali malhotra,3.0,Packaging not good overall good,14 May 2021,Good but packaging was not good.
S A. Halim,3.0,Goodknight Liquidator,13 May 2021,So far so good
Sumit Sah,3.0,Did not live up to expectations,30 April 2021,One of the refills was broken
Hitesh kukreja,3.0,Good,29 April 2021,Good
Amazon Customer,3.0,Ok,26 April 2021,Good
SUDIPTA MONDAL,3.0,Ok not good,19 April 2021,"Ok product not upto the mark
Not bad also...
Packaging was very bad"
Amazon Customer,3.0,Good night power active is good product comparatively.,15 April 2021,For removing mosquitos.
archana majumdar,3.0,Not effective,15 April 2021,The product is not at all effective
Arnab saha,3.0,Ok,14 April 2021,Ok
Dharam Pal Batra,3.0,So so,11 April 2021,Not much effective
Anurag kumar,3.0,not good luck this time,4 April 2021,its less working and effective...i doubt its originality
AASHISH KUMAR KASHYAP,3.0,Not work effectively,29 March 2021,Not effective work in room
Babulipatra,3.0,Think and buy,22 March 2021,🦟🦟🦟🦟🦟 not leaving the room after plugging in whole the night. I think duplicate product by company.
kaushlendra,3.0,खराब पैकेजिंग,22 March 2021,2 रीफिल का लिक़ुइड बह गया था।
Pankaj Singh,3.0,Good colitis,15 March 2021,Good
SS,3.0,Not so effective,12 March 2021,Not so effective
Farman,3.0,U can't expect more from dis,4 March 2021,Below avarege
Chukka pavani krishna,3.0,About packing,2 March 2021,Packing seal was opened...
SIVASEKAR,3.0,Ok,11 February 2021,Ok
Murari,3.0,Bad quality,22 January 2021,Looks like water mixed in liquid bottle
NARASINGH PRASAD PADHI,3.0,Satisfactory,17 January 2021,"Scented repellent works for few days . After that its work reduced to 50-30-10 percent .As each is not sealed ,There may mixed with some other chemicals .
One person found this helpful"
B R Krishna,4.0,Value for money,8 June 2025,Good quality product at a good price.
Vivek Soni,4.0,Quality,27 May 2025,Value for money ♥️👍💯
Sudarshan Thakare,4.0,Okay,21 May 2025,Oaky
Syed Basheer,4.0,Ok,10 May 2025,Ok
Gajendra Kumar,4.0,Two refill less,6 May 2025,"I ordered 6(six) no. Good night refill pack but when I open the box found only 4(four) no. of refill in it .so please send 2(two) refill
.
Customer image
One person found this helpful"
Dr. M Y Achhava,4.0,Quality,14 April 2025,Good
Tausif khan,4.0,Effective,13 April 2025,Received old packaging which is going to expire in oct this year.
Jagdish Kalra,4.0,"Size small, should be increased to run for a month.",11 April 2025,Good product
Arnab Ghosh,4.0,Good Product,14 March 2025,Good Product
shwetha,4.0,Good,2 March 2025,Good
Placeholder,4.0,Must required for Indian households,20 January 2025,"Must required for Indian households.
One person found this helpful"
Rajpal Singh,4.0,good,10 January 2025,good
Krishnendu Manna,4.0,Good mosquito repellent,17 December 2024,Good mosquito repellent
PRITAM MONDAL,4.0,Ok,5 December 2024,Ok
luncher,4.0,Good,12 November 2024,Good quality
PBHatadia,4.0,Prevent mosquito at home.,23 October 2024,"It's effective.
Customer image"
SANTHAPPAN A,4.0,Good,23 October 2024,Good
Hemant Oke,4.0,Good product.,22 July 2024,"Good product.
One person found this helpful"
DOCTORATE ANUP KR SENGUPTA,4.0,GOOD PRODUCT.,13 July 2024,GOOD PRODUCT.
Benny,4.0,Great,16 May 2024,Good item. Delivered very late.
jiwan k.,4.0,Worth it,12 May 2024,Worth the money. Worked well and lasts long
Placeholder,4.0,Good product,17 April 2024,Good product and value for money
Ranbirngasepam,4.0,Good smell,15 April 2024,"Nice smell, mild action"
Placeholder,4.0,Liquid goodnight,6 April 2024,Effective against mosquito.
Abhishek Kumar,4.0,Value for money,3 April 2024,Value for money
Sunil Nayak,4.0,Good,31 March 2024,Good
Nagarjun,4.0,All-out,1 March 2024,"Nice
One person found this helpful"
Vipul,4.0,Worth it!,11 February 2024,Yes ! Worth !
Alco Holic,4.0,Decent,4 February 2024,Okay product. Works as advertised.
suman kumar,4.0,Good product,13 December 2023,Good product
Ajay arora,4.0,100,9 December 2023,Nice
Amazon Customer,4.0,Good product,6 November 2023,I am regularly using this repellent. Very good
Rajendra P.,4.0,Good iteam,29 September 2023,Good
Rakesh Kumar,4.0,Good,24 September 2023,"Customer image
One person found this helpful"
Pradip Kumar Routh,4.0,Mosquito repellent,22 September 2023,"It works
One person found this helpful"
Amazon Customer,4.0,No doubt,20 September 2023,Use for mosquitoes killing
Customer,4.0,Essential,4 September 2023,Can be brought
Dr.Jay G Varshney,4.0,Good,26 August 2023,Worth purchasing
Pradip K.,4.0,Good,14 August 2023,Good
Mary,4.0,Good,10 August 2023,"Good night one of the trusted brand
2 people found this helpful"
Aman,4.0,Works good,6 August 2023,Works good and keeps the mosquito away. But make sure it does fits your machine. I ordered it for regular good night machine and it wasn't compatible for it.
ASHOK CHAKRABORTY,4.0,Effective,3 August 2023,No coments
Gurukrushna,4.0,Good,18 July 2023,Y
SHASHIKANT TRIVEDI,4.0,Very good,29 June 2023,"Very good
One person found this helpful"
Ramesh Kumar Kathuri,4.0,Best,22 June 2023,Best product
SUNNY N,4.0,Good and compared to others options,7 June 2023,Good and compared to others options
Bharat lal chouhan,4.0,Good,4 June 2023,Good
They do not fit to goldfash machine.,4.0,Didn't fit with goldfash machine.,22 May 2023,They don't fit with goldfash machine.
Mahendran Aruchamy,4.0,Good,18 May 2023,Good product
TAPAS KUMAR PATRA,4.0,Useful,11 May 2023,"Good and useful
One person found this helpful"
K Katoch,4.0,Good,8 May 2023,Good product !!
VIJAYAKUMAR J,4.0,Good,5 May 2023,Good
saroj das,4.0,Good,1 May 2023,Good
Prasun Kr. Bhattacharjee,4.0,Good,1 May 2023,Useful
Arun Kumar Varma,4.0,Good,20 April 2023,Good
nilesh joshi,4.0,Good product,7 April 2023,Quality is good
PY,4.0,Repels mosquitoes,29 March 2023,"Repels mosquitoes out of the room, easy to use, pleasant smell, produced by Godrej."
Rahul kumar Sinha,4.0,Better,15 March 2023,Nice
Vijay pachori,4.0,प्रोडक्ट सस्ता भी ही और अच्छा भी हे,14 March 2023,प्रोडक्ट पसंद है
send invoice,4.0,Mast,27 February 2023,Nice
DEBABRATA RAKSHIT,4.0,Mosquitoe killing power.,16 February 2023,"Yes,good one & very useful product but the mosquitoes are somehow now still moving even after spraying/ burning thise liquid which should be look into by the company's R&D wing to find out the reasons and remidies to overcome the drawback.Hope,the matter would be brought to notice of appropriate forum.
3 people found this helpful"
Gopichand,4.0,good,15 February 2023,good
BABY Mekkattukulam,4.0,nice,6 January 2023,like
Amazon Customer,4.0,Good,6 January 2023,Good
Ramesh k.,4.0,बहुत अच्छा व कृयाशील उत्पाद।,28 December 2022,"बहुत सुंदर एवं कृयाशील उत्पाद।
पैसा वसूल।"
Uday,4.0,ok,28 December 2022,good
S.S.Sohi,4.0,Value for money,6 December 2022,"Mosquito repellent
2 people found this helpful"
nareshkumarchauhan,4.0,Like this product,4 December 2022,Like this product
Amazon Customer,4.0,GOOD SERVICE,4 December 2022,LIKE
Jagdish Chander Sharma,4.0,Receipt of damaged product.,2 December 2022,"Some part of item seems to have leaked please. The leacked item was either refilled or replaced.
Customer image"
Dhananjay,4.0,Nice,1 December 2022,"Packaging could have been better but glad it didn't spill
One person found this helpful"
Poonam Sharma,4.0,Very good.,23 November 2022,Good product .orginal product.packiging is also good thanks amozon
Gautam Singha,4.0,Good,19 November 2022,Worthy
naveen kumar,4.0,Quality product,19 November 2022,"Click to play video
It is very good quality product which I got in on approx 22% discount. I have searched in whole market, no one is giving so much discount. It works perfectly on mosquitoes. If u put this on in active mode then no mosquito would sting u. Fragrance is also good. In normal mode it doesn't work perfectly on mosquitoes, there is a lot of possibility that mosquitoes can sting u. Only drawback is that it doesn't fit in latest Gold Flash machine. It fits only in Active+ machine.
Customer image
Customer image
Customer image
Customer image
Customer image
Customer image
2 people found this helpful"
apurba mandal,4.0,Good. Quality is like the brand,18 November 2022,Good. Quality is like the brand
Placeholder,4.0,"अति सुन्दर, उपयोगी शुद्ध सामग्री।",14 November 2022,घर के लिए उपयोग किया।
James george,4.0,Okay,4 November 2022,Okay
Mahmad Husen vahora,4.0,Good,29 October 2022,Good
Sivadas,4.0,Good,25 October 2022,Good
M.Saad,4.0,It's ok,17 October 2022,Good product
Sharad nilkanth,4.0,Good,16 October 2022,Best than other
Himanshu,4.0,"Easy and effective ,rapid delivery by Amazon",10 October 2022,"Easy and effective ,rapid delivery by Amazon"
Sudipta Samanta,4.0,Value of money 🤑💰 nice....,5 October 2022,"Click to play video
Nice product 👍
Looks like beautiful ❤️
One person found this helpful"
Rekha bala,4.0,good,25 September 2022,good
G.VenkatanarayanaReddy,4.0,Useful,12 September 2022,Easy to use.
RatnaAaditya,4.0,good,18 August 2022,"good
2 people found this helpful"
Sumana Sinha,4.0,Good product.,12 August 2022,Good product.
Dr S.Dhanabalan,4.0,Well known mosquito repellent.,12 August 2022,Trusted brand for repelling mosquito.
Apoorv Pradhan,4.0,Good one 👍🏻,3 August 2022,"Recived in proper packing, and this doesn't seems duplicate product.
Smell is also as good and it is effective too 👍🏻
Customer image
Customer image
Customer image"
prakash choudhary,4.0,Ok,2 August 2022,Ok
murali krishna reddy,4.0,Ok,29 July 2022,Ok
Rajesh Kumar Jha,4.0,Good product 👍,10 July 2022,Good product by another product
SUSHMA SINDHE,4.0,Nice,4 July 2022,Good
Gopal,4.0,Nyce,12 June 2022,Nyce
Placeholder,4.0,Reasonable price,10 June 2022,Fast delivery. Good price
Robin,4.0,Ok product,28 May 2022,"The product in itself seems fine but I have seen mosquitoes 🦟 sitting on top of it while it is ON, and still no effect!! 🤣😂"
Sandip Ghosh,4.0,Mosquito repellent,28 May 2022,What comment is required for this product. But price is high compared to others
Manjunath N,4.0,Ok,16 May 2022,Ok
Amazon Customer,4.0,"Good Knight Power Activ+, Mosquito repellent is good & effective.",5 May 2022,"Good Knight Power Activ+, Mosquito repellent is good & effective."
Mohammad Danish,4.0,Good product,25 April 2022,"Value of money
One person found this helpful"
ROSHAN,5.0,Good,27 June 2025,Good
Buyer,5.0,Worth for the money,6 June 2025,Worth every penny yu pay at this price
suhaibvp,5.0,Good product,21 May 2025,All people know about good night product so no need my review
Chiranjit Moirangthem,5.0,Working.,20 May 2025,"I was sceptical at first because of some reviews but i bought it anyway since it had lots of buyer.
The moment i opened it the first bottle had quite a darkish liquid compare to the one i bought offline.i thought of returning it but then decided to just try it.
So after more than a week of using two of it,the darkish one too,i would say its working out fine.And i tell you i am from manipur and mosquitos and all kinds insects are famous over here.If i gave a 5 star review that means its working fine.
But then i havnt use all of it, still 10 left.If i find any of the product not working or looks fake i will update it here."
Vasant gandhi,5.0,Good,14 May 2025,Good
mehmood hussain Khan,5.0,Excellent,10 May 2025,Excellent
Chris Jayadurai,5.0,Fast delivery,29 April 2025,"Good...
Customer image"
Awadhoot,5.0,useful,19 April 2025,Useful
saurabh yadav,5.0,Guinune item,12 April 2025,Genuine products. You must go for purchase without any hesitation.
Neeru K Bhandari,5.0,Worth buy,5 April 2025,Always a product praising
ROSHAN,5.0,Good,27 June 2025,Good
Buyer,5.0,Worth for the money,6 June 2025,Worth every penny yu pay at this price
suhaibvp,5.0,Good product,21 May 2025,All people know about good night product so no need my review
Chiranjit Moirangthem,5.0,Working.,20 May 2025,"I was sceptical at first because of some reviews but i bought it anyway since it had lots of buyer.
The moment i opened it the first bottle had quite a darkish liquid compare to the one i bought offline.i thought of returning it but then decided to just try it.
So after more than a week of using two of it,the darkish one too,i would say its working out fine.And i tell you i am from manipur and mosquitos and all kinds insects are famous over here.If i gave a 5 star review that means its working fine.
But then i havnt use all of it, still 10 left.If i find any of the product not working or looks fake i will update it here."
Vasant gandhi,5.0,Good,14 May 2025,Good
mehmood hussain Khan,5.0,Excellent,10 May 2025,Excellent
Chris Jayadurai,5.0,Fast delivery,29 April 2025,"Good...
Customer image"
Awadhoot,5.0,useful,19 April 2025,Useful
saurabh yadav,5.0,Guinune item,12 April 2025,Genuine products. You must go for purchase without any hesitation.
Neeru K Bhandari,5.0,Worth buy,5 April 2025,Always a product praising
Sumanta k.,5.0,Very good 👍😊,27 January 2025,Very good 👍😊
Elson K,5.0,Good night,16 January 2025,Good night
SBC,5.0,Perfect,15 January 2025,Value for money combo
K Anvesh,5.0,Good,10 January 2025,"Good
One person found this helpful"
DURGESH KUMAR PRASAD,5.0,Good for mosquito,10 January 2025,Like this product
Jobin,5.0,Great for homes,28 December 2024,Very good output. Smell is pleasant. Works well. Recommended ⭐⭐⭐⭐⭐
Rubi,5.0,Good,19 December 2024,Good
SANJAY,5.0,GOOD KNIGHT,19 December 2024,Best
c venkata ramana,5.0,Good product,12 November 2024,Working good. But not for 1month.
Latha,5.0,Good,9 November 2024,Good
Placeholder,5.0,VERY USEFUL,4 November 2024,VERY USEFUL
Dr. Sreeju S Nair,5.0,Good,31 October 2024,Good
Chandrasekhara Raju,5.0,Okay,29 October 2024,Okay
Ujwal,5.0,Value for money,27 October 2024,Value for money
Bip,5.0,Good,24 October 2024,Price is reasonable
samarjeet pattnaik,5.0,Good,21 October 2024,Good
Chochocookies World,5.0,Really good,7 October 2024,Good work. Keeps mosquitoes away. Value for money. Runs for a month and few days more.
vanlalthara,5.0,Good,6 October 2024,Thanks Amazon for this product.
Breeze,5.0,Worth Buying in Bulk,3 October 2024,6 pieces together came with a good price.
Arindam Saha,5.0,Good,16 September 2024,"Like
One person found this helpful"
Gulab Singh,5.0,Very good product,13 September 2024,I like it
SUSMITA TIWARI,5.0,Good,10 September 2024,Good
UJJWAL KUMAR,5.0,Too good,6 September 2024,"Click to play video
The product is best, I ordered pack of 2 in which number of good night refills are 12 in cheap price. I like it very much. I found this product on Amazon at very low price. Thank you amazon
One person found this helpful"
Sowmya Iyer,5.0,Well packed and affordable price.,29 August 2024,Product is exactly as described.
Yash,5.0,Good,26 August 2024,Good product
Sandip Paul,5.0,Good Knight Power Activ+ Liquid Vapourizer – Effective Mosquito Protection with Convenient Refills!,25 August 2024,"The Good Knight Power Activ+ Liquid Vapourizer offers reliable mosquito protection with its effective liquid refill system. This pack includes two 45ml refills, designed to provide long-lasting defense against mosquitoes. The vapourizer's formula works efficiently to repel insects, helping to create a more comfortable and pest-free environment. Easy to use and refill, it is a practical solution for keeping mosquitoes at bay. Ideal for both indoor and outdoor use, Good Knight Power Activ+ ensures peace of mind and continuous protection from irritating and potentially disease-carrying mosquitoes."
Chandan Kumar,5.0,Value for money,24 August 2024,Nice
sharad shankar sabale,5.0,Ok,22 August 2024,Like
NITIN,5.0,good product,7 August 2024,"Very Good product, Very Good product, Very Good product, Very Good product, Very Good product, Very Good product, Very Good product"
Very happy,5.0,Happy,6 August 2024,Im very happy
ATHARVA ELECTRONICS,5.0,Excellent,5 August 2024,"Excellent products thx Amazon
Customer image
Customer image"
Pankaj Kumar,5.0,It repels the mosquito.,2 August 2024,Nice very nice
Excellent 👍,5.0,Enjoy very GOOD NIGHT sleep daily,13 June 2024,"For our own protection from mosquitoes bite
2 people found this helpful"
Parul b.,5.0,Its genius,2 June 2024,Its smell is nice
Suravi Sadhukhan,5.0,Good,1 June 2024,"Active mode is recommended
One person found this helpful"
VARIS PATHAN,5.0,Good quality,16 May 2024,👍👍👍👍👍
Subhas Das,5.0,Good,10 May 2024,Purpose solved
Anand Jain,5.0,Very affordable,1 May 2024,Worth the money it's a good deal
Amazon Customer,5.0,Good,23 April 2024,Good
Kunwar Vikram Singh,5.0,quality good,28 March 2024,"satisfied
One person found this helpful"
Vikas Gill,5.0,Good product,1 March 2024,Nice
Superb Material & Elegant Design of this Product. Thanks & Regards,5.0,"No More Bite from ""Mosquito""",29 February 2024,"Best Quality of Product at Night
Thanks"
zinky,5.0,Satisfactory,26 February 2024,It's nicely packed and working fine
