Reviewer,Rating,Title,Date,Body,review_key_aspects,aspect_sentiments,adjective_review,ner_review,emotions_review,empathy_review,predicted_sentiment,actual_sentiment,computed_sentiment_score,computed_sentiment
Neetu Lohiya,1.0,received less quantity,2024-10-10,i have ordered 6 pcs pack but got only 5 pcs instead of 6 customer image,pc customer image,"{'pcs': 'neutral', 'customer': 'neutral', 'image': 'neutral'}",,"('6', 'CARDINAL')","[('neutral', 0.4473625123500824), ('annoyance', 0.09178635478019714), ('disappointment', 0.09088184684515)]","[[{'label': 'sadness', 'score': 0.7212397456169128}, {'label': 'surprise', 'score': 0.164053812623024}, {'label': 'neutral', 'score': 0.08692692220211029}, {'label': 'anger', 'score': 0.01287184190005064}, {'label': 'joy', 'score': 0.010376974940299988}, {'label': 'fear', 'score': 0.002640771446749568}, {'label': 'disgust', 'score': 0.001889935345388949}]]",neutral,negative,0.0,neutral
Santosh Tiwari,1.0,60 Nights,2024-10-10,works only 20 nights instead of 60 nights all untrue dont trust,night night,{'nights': 'negative'},untrue,"('20 nights', 'TIME')","[('neutral', 0.7395378947257996), ('approval', 0.055120695382356644), ('realization', 0.030219666659832)]","[[{'label': 'neutral', 'score': 0.6735549569129944}, {'label': 'sadness', 'score': 0.22518204152584076}, {'label': 'surprise', 'score': 0.059904977679252625}, {'label': 'anger', 'score': 0.02203858457505703}, {'label': 'fear', 'score': 0.010333865880966187}, {'label': 'disgust', 'score': 0.005558033939450979}, {'label': 'joy', 'score': 0.0034275671932846308}]]",negative,negative,-0.4023,negative
Ashish chand,1.0,Damanged,2024-09-15,product seal was already opened,product seal,"{'product': 'neutral', 'seal': 'neutral'}",,,"[('neutral', 0.8170456886291504), ('approval', 0.04291281849145889), ('admiration', 0.0166908148676157)]","[[{'label': 'neutral', 'score': 0.8551511764526367}, {'label': 'surprise', 'score': 0.0998217910528183}, {'label': 'joy', 'score': 0.028683645650744438}, {'label': 'anger', 'score': 0.007455702405422926}, {'label': 'sadness', 'score': 0.004828193224966526}, {'label': 'disgust', 'score': 0.0022695388179272413}, {'label': 'fear', 'score': 0.001790001755580306}]]",neutral,negative,0.0,neutral
RAVINDER SINGH,1.0,WORST THING,2024-09-01,worst thing,bad thing,{'thing': 'negative'},worst,,"[('disgust', 0.3560197949409485), ('anger', 0.34107017517089844), ('annoyance', 0.17738187313079834)]","[[{'label': 'disgust', 'score': 0.9649443030357361}, {'label': 'anger', 'score': 0.017687490209937096}, {'label': 'sadness', 'score': 0.005765009205788374}, {'label': 'neutral', 'score': 0.005704720038920641}, {'label': 'fear', 'score': 0.0037248102016747}, {'label': 'surprise', 'score': 0.001407670439220965}, {'label': 'joy', 'score': 0.0007660627015866339}]]",negative,negative,-0.6249,negative
Anirudh,1.0,Duplicate Product,2024-07-18,this smells like somke come out from burning kerosine duplicate product,kerosine,"{'kerosine': 'positive', 'product': 'positive'}",duplicate,,"[('neutral', 0.4323800206184387), ('annoyance', 0.17170226573944092), ('approval', 0.09097324311733246)]","[[{'label': 'disgust', 'score': 0.7088034152984619}, {'label': 'anger', 'score': 0.19755201041698456}, {'label': 'sadness', 'score': 0.043890222907066345}, {'label': 'neutral', 'score': 0.03599270060658455}, {'label': 'fear', 'score': 0.00652295583859086}, {'label': 'surprise', 'score': 0.006001760251820087}, {'label': 'joy', 'score': 0.0012369001051411033}]]",positive,negative,0.3612,positive
Ibrahim Pathan,1.0,One Item missing,2024-07-05,outof six i received only five bottles of good knight liquid refill,bottle good knight liquid refill,"{'bottles': 'positive', 'knight': 'positive', 'liquid': 'positive', 'refill': 'positive'}",good,"('six', 'CARDINAL')","[('admiration', 0.33171090483665466), ('approval', 0.17624908685684204), ('neutral', 0.16932322084903717)]","[[{'label': 'sadness', 'score': 0.42915961146354675}, {'label': 'surprise', 'score': 0.28520360589027405}, {'label': 'neutral', 'score': 0.23207803070545197}, {'label': 'anger', 'score': 0.0205758735537529}, {'label': 'joy', 'score': 0.017668060958385468}, {'label': 'disgust', 'score': 0.0077000632882118225}, {'label': 'fear', 'score': 0.007614776026457548}]]",positive,negative,0.4404,positive
Amazon Customer,1.0,Short delivery,2024-06-23,there were only 3 refills in the pack instead of 4,refill pack,"{'refills': 'neutral', 'pack': 'neutral'}",,"('only 3', 'CARDINAL')","[('neutral', 0.8120875954627991), ('approval', 0.03936207294464111), ('realization', 0.020835353061556816)]","[[{'label': 'neutral', 'score': 0.5286785960197449}, {'label': 'surprise', 'score': 0.3753190040588379}, {'label': 'sadness', 'score': 0.0756310448050499}, {'label': 'joy', 'score': 0.007670565973967314}, {'label': 'disgust', 'score': 0.0051553030498325825}, {'label': 'anger', 'score': 0.004782500676810741}, {'label': 'fear', 'score': 0.002762926509603858}]]",neutral,negative,0.0,neutral
Raj Sharma,1.0,Doesn’t work,2024-06-22,doesn’t kill or repel mosquitoes,repel mosquito,"{'repel': 'negative', 'mosquitoes': 'negative'}",,,"[('neutral', 0.35639646649360657), ('annoyance', 0.14108110964298248), ('disapproval', 0.12477147579193115)]","[[{'label': 'neutral', 'score': 0.4621327221393585}, {'label': 'disgust', 'score': 0.257585734128952}, {'label': 'fear', 'score': 0.1132584884762764}, {'label': 'anger', 'score': 0.09973074495792389}, {'label': 'sadness', 'score': 0.057620178908109665}, {'label': 'surprise', 'score': 0.00514320470392704}, {'label': 'joy', 'score': 0.0045289392583072186}]]",negative,negative,-0.6908,negative
Ratan Lal Roy,1.0,"Items missing, received 5 of 6",2024-06-02,click to play video box was not sealed when package was opened received 5 items instead of 6 customer image customer image,video box package item customer image customer image,"{'video': 'positive', 'box': 'positive', 'package': 'positive', 'items': 'positive', 'customer': 'positive', 'image': 'positive'}",,"('5', 'CARDINAL')","[('neutral', 0.425544798374176), ('disapproval', 0.11561434715986252), ('annoyance', 0.10840782523155212)]","[[{'label': 'surprise', 'score': 0.6067265272140503}, {'label': 'neutral', 'score': 0.2388191968202591}, {'label': 'sadness', 'score': 0.11982448399066925}, {'label': 'anger', 'score': 0.015367859043180943}, {'label': 'joy', 'score': 0.008414081297814846}, {'label': 'disgust', 'score': 0.006184580270200968}, {'label': 'fear', 'score': 0.004663259722292423}]]",positive,negative,0.34,positive
RAVINDRAPRASAD PELLURU,1.0,Not working,2024-05-31,mosquitos are not repelled from the room it worked like a water one person found this helpful,mosquito room water person,"{'mosquitos': 'positive', 'room': 'positive', 'water': 'positive', 'person': 'positive'}",helpful,,"[('neutral', 0.37839019298553467), ('disapproval', 0.27147582173347473), ('annoyance', 0.07760580629110336)]","[[{'label': 'neutral', 'score': 0.8722265958786011}, {'label': 'joy', 'score': 0.0805884525179863}, {'label': 'disgust', 'score': 0.017090152949094772}, {'label': 'surprise', 'score': 0.012162843719124794}, {'label': 'anger', 'score': 0.009926488623023033}, {'label': 'sadness', 'score': 0.005822306964546442}, {'label': 'fear', 'score': 0.00218306016176939}]]",positive,negative,0.6956,positive
Ram Malakar,1.0,It is worst,2024-05-17,zero effectiveness mosquitoes fly on top of it without any effect,zero effectiveness mosquito effect,"{'effectiveness': 'positive', 'mosquitoes': 'positive', 'top': 'positive', 'effect': 'positive'}",,"('zero', 'CARDINAL')","[('neutral', 0.6344594955444336), ('annoyance', 0.050896055996418), ('approval', 0.0465550422668457)]","[[{'label': 'anger', 'score': 0.4831313192844391}, {'label': 'neutral', 'score': 0.3082696795463562}, {'label': 'disgust', 'score': 0.09567251801490784}, {'label': 'sadness', 'score': 0.07758870720863342}, {'label': 'fear', 'score': 0.015599568374454975}, {'label': 'surprise', 'score': 0.015428775921463966}, {'label': 'joy', 'score': 0.00430937809869647}]]",positive,negative,0.2023,positive
Dhaval,1.0,Fake Product,2024-05-02,dont buy from here buy from your local store instead this is a fake or a diluted product storebought refill lasts for at least two weeks even after keeping it on all night this one barely lasts for a week even after 23 hours of usage one person found this helpful,local store fake diluted product refill week night week hour usage person,"{'store': 'neutral', 'fake': 'neutral', 'product': 'neutral', 'refill': 'neutral', 'weeks': 'neutral', 'night': 'neutral', 'one': 'neutral', 'week': 'neutral', 'hours': 'neutral', 'usage': 'neutral', 'person': 'neutral'}",local diluted helpful,"('at least two weeks', 'DATE')","[('neutral', 0.692956268787384), ('approval', 0.06775296479463577), ('annoyance', 0.040849871933460236)]","[[{'label': 'neutral', 'score': 0.7327747344970703}, {'label': 'surprise', 'score': 0.20371383428573608}, {'label': 'sadness', 'score': 0.028864027932286263}, {'label': 'anger', 'score': 0.015871167182922363}, {'label': 'disgust', 'score': 0.010161923244595528}, {'label': 'joy', 'score': 0.006914447993040085}, {'label': 'fear', 'score': 0.0016998157370835543}]]",neutral,negative,0.0387,positive
Damaged product,1.0,Damaged,2024-04-22,click to play video mosquito repellent customer image customer image,video mosquito repellent customer image customer image,"{'video': 'positive', 'repellent': 'positive', 'customer': 'positive', 'image': 'positive'}",mosquito,"('mosquito repellent', 'PERSON')","[('neutral', 0.3323952257633209), ('disappointment', 0.15686814486980438), ('annoyance', 0.13844804465770721)]","[[{'label': 'neutral', 'score': 0.9399642944335938}, {'label': 'surprise', 'score': 0.02077987976372242}, {'label': 'anger', 'score': 0.011007093824446201}, {'label': 'disgust', 'score': 0.010481080040335655}, {'label': 'joy', 'score': 0.008648158051073551}, {'label': 'sadness', 'score': 0.005798362195491791}, {'label': 'fear', 'score': 0.0033210711553692818}]]",positive,negative,0.34,positive
Avinash,1.0,Expire item recived,2024-04-12,pls help me call me customer image,customer image,"{'customer': 'positive', 'image': 'positive'}",,,"[('sadness', 0.36964771151542664), ('disappointment', 0.17066705226898193), ('neutral', 0.15060509741306305)]","[[{'label': 'neutral', 'score': 0.9235876798629761}, {'label': 'surprise', 'score': 0.02320605330169201}, {'label': 'sadness', 'score': 0.01479970570653677}, {'label': 'fear', 'score': 0.013812022283673286}, {'label': 'joy', 'score': 0.012441991828382015}, {'label': 'anger', 'score': 0.009609192609786987}, {'label': 'disgust', 'score': 0.0025434219278395176}]]",positive,negative,0.4588,positive
Souvik Mahapatra,1.0,2 bottles missing from Goodnight packet,2024-04-04,very upset very disgustingafter opened good night refill packet i can see 4 bottles instead of 6 first time facing this problem,upset disgustingafter open good night refill packet bottle problem,"{'disgustingafter': 'negative', 'night': 'negative', 'refill': 'negative', 'packet': 'negative', 'bottles': 'negative', 'time': 'negative', 'problem': 'negative'}",upset good first,"('4', 'CARDINAL')","[('disgust', 0.647229790687561), ('admiration', 0.19793561100959778), ('embarrassment', 0.14069108664989471)]","[[{'label': 'disgust', 'score': 0.9620487093925476}, {'label': 'anger', 'score': 0.010302837006747723}, {'label': 'fear', 'score': 0.009858474135398865}, {'label': 'sadness', 'score': 0.008666270412504673}, {'label': 'surprise', 'score': 0.005759907886385918}, {'label': 'neutral', 'score': 0.002290257252752781}, {'label': 'joy', 'score': 0.0010734864044934511}]]",negative,negative,-0.4318,negative
mohd tasneef,1.0,fake products...buy it from a local market,2024-03-15,do not go cheapness i bought it two times second tym i bought it last year it was a total fake product even mosquitoes  is seen every where while keep it on 16 hours continuously i have still left some refills one person found this helpful,total fake product mosquito hour refill person,"{'times': 'neutral', 'year': 'neutral', 'product': 'neutral', 'mosquitoes': 'neutral', 'hours': 'neutral', 'refills': 'neutral', 'person': 'neutral'}",cheapness second last total fake helpful,"('two', 'CARDINAL')","[('neutral', 0.4580714702606201), ('disapproval', 0.1351325958967209), ('annoyance', 0.11663508415222168)]","[[{'label': 'neutral', 'score': 0.6072096228599548}, {'label': 'surprise', 'score': 0.25292783975601196}, {'label': 'sadness', 'score': 0.07913204282522202}, {'label': 'joy', 'score': 0.03364456817507744}, {'label': 'anger', 'score': 0.019277730956673622}, {'label': 'disgust', 'score': 0.005377724301069975}, {'label': 'fear', 'score': 0.0024304776452481747}]]",neutral,negative,0.0387,positive
MURUGESAN,1.0,Dublicate,2024-03-14,useless,,{},useless,,"[('anger', 0.378958135843277), ('neutral', 0.21868258714675903), ('annoyance', 0.18286436796188354)]","[[{'label': 'anger', 'score': 0.7700261473655701}, {'label': 'disgust', 'score': 0.19263982772827148}, {'label': 'fear', 'score': 0.013972850516438484}, {'label': 'neutral', 'score': 0.011056038551032543}, {'label': 'sadness', 'score': 0.00902471225708723}, {'label': 'surprise', 'score': 0.0022099793422967196}, {'label': 'joy', 'score': 0.0010703745065256953}]]",negative,negative,-0.4215,negative
Debkumar Mahato,1.0,Worst product,2024-02-23,black part was broken and inside the bottle damaged item received customer image customer image one person found this helpful,black bottle damage item customer image customer image person,"{'part': 'negative', 'bottle': 'negative', 'item': 'negative', 'customer': 'negative', 'image': 'negative', 'person': 'negative'}",black helpful,"('one', 'CARDINAL')","[('sadness', 0.27397027611732483), ('disappointment', 0.26311078667640686), ('neutral', 0.25202837586402893)]","[[{'label': 'neutral', 'score': 0.7959840297698975}, {'label': 'surprise', 'score': 0.07757270336151123}, {'label': 'joy', 'score': 0.049342554062604904}, {'label': 'sadness', 'score': 0.04438266158103943}, {'label': 'anger', 'score': 0.022757848724722862}, {'label': 'disgust', 'score': 0.008390785194933414}, {'label': 'fear', 'score': 0.0015693851746618748}]]",negative,negative,-0.4118,negative
Akhil,1.0,Very bad product Mosquito sits on top of the machine,2024-02-23,doesnt really work very bad formula mosquitoes sits on top of the machine that how ineffective it is i would have given 0 stars  these refills are so expensive yet they dont work one person found this helpful,bad formula mosquito machine star refill person,"{'formula': 'negative', 'mosquitoes': 'negative', 'top': 'negative', 'machine': 'negative', 'stars': 'negative', 'refills': 'negative', 'person': 'positive'}",bad ineffective expensive helpful,"('one', 'CARDINAL')","[('neutral', 0.292891263961792), ('disappointment', 0.16669824719429016), ('disapproval', 0.13938292860984802)]","[[{'label': 'sadness', 'score': 0.7193660140037537}, {'label': 'surprise', 'score': 0.19755467772483826}, {'label': 'neutral', 'score': 0.04961400851607323}, {'label': 'anger', 'score': 0.016274720430374146}, {'label': 'joy', 'score': 0.009283293038606644}, {'label': 'fear', 'score': 0.004417883697897196}, {'label': 'disgust', 'score': 0.003489355556666851}]]",negative,negative,-0.1297,negative
Narayanan,1.0,Not working,2024-02-21,its not working as expected mosquitos are flying near to this machine,expect mosquito machine,"{'mosquitos': 'neutral', 'machine': 'neutral'}",,,"[('neutral', 0.5307911038398743), ('disapproval', 0.14601872861385345), ('annoyance', 0.09038810431957245)]","[[{'label': 'sadness', 'score': 0.7139455676078796}, {'label': 'neutral', 'score': 0.14577321708202362}, {'label': 'surprise', 'score': 0.10129719227552414}, {'label': 'anger', 'score': 0.01970691606402397}, {'label': 'disgust', 'score': 0.007950886152684689}, {'label': 'fear', 'score': 0.006501834839582443}, {'label': 'joy', 'score': 0.004824429750442505}]]",neutral,negative,0.0,neutral
Lilly Joseph,1.0,Defective...old i suppose black rod broke and not able to use,2024-02-19,waste of money defective old i suppose black rod broke and not able to use,waste money black rod,"{'waste': 'negative', 'money': 'negative', 'rod': 'negative'}",defective old black able,,"[('neutral', 0.3009495735168457), ('disapproval', 0.2566240429878235), ('annoyance', 0.10186257213354111)]","[[{'label': 'sadness', 'score': 0.863609254360199}, {'label': 'neutral', 'score': 0.05810820683836937}, {'label': 'surprise', 'score': 0.030226951465010643}, {'label': 'anger', 'score': 0.028601031750440598}, {'label': 'disgust', 'score': 0.011429506354033947}, {'label': 'fear', 'score': 0.00471409410238266}, {'label': 'joy', 'score': 0.0033110242802649736}]]",negative,negative,-0.8176,negative
theGreenDragon,1.0,Extremely STRONG smell.,2024-01-20,if you accidentally leave it on for the entire night the next day youll feel the smell for the whole day and i personally feel pretty sick for half of the day  i hope it does not have side effects on us,entire night smell day half day effect,"{'night': 'negative', 'day': 'negative', 'smell': 'negative', 'half': 'negative', 'effects': 'positive'}",entire next whole sick side,"('the entire night', 'TIME')","[('optimism', 0.4675056040287018), ('caring', 0.18993428349494934), ('neutral', 0.15867358446121216)]","[[{'label': 'sadness', 'score': 0.949292778968811}, {'label': 'surprise', 'score': 0.020359588786959648}, {'label': 'fear', 'score': 0.016521984711289406}, {'label': 'neutral', 'score': 0.005044916644692421}, {'label': 'joy', 'score': 0.0034344482701271772}, {'label': 'disgust', 'score': 0.0027526766061782837}, {'label': 'anger', 'score': 0.00259367935359478}]]",positive,negative,0.0516,positive
Anabiya ali,1.0,Mt lo plz koe,2024-01-18,fltu ekdm fltu gira hua mila h oil pura gira hua tha,fltu ekdm fltu gira hua mila h oil pura gira hua tha,"{'ekdm': 'neutral', 'oil': 'neutral'}",fltu,"('gira hua mila', 'PERSON')","[('neutral', 0.8051297068595886), ('annoyance', 0.02976020984351635), ('anger', 0.024967854842543602)]","[[{'label': 'neutral', 'score': 0.5330406427383423}, {'label': 'joy', 'score': 0.1044282615184784}, {'label': 'anger', 'score': 0.0896095409989357}, {'label': 'surprise', 'score': 0.08349061012268066}, {'label': 'sadness', 'score': 0.07756412774324417}, {'label': 'fear', 'score': 0.06253042817115784}, {'label': 'disgust', 'score': 0.049336399883031845}]]",neutral,negative,0.0,neutral
Sanjeev,1.0,Not good,2024-01-09,seemsonly water in inside the pots,seemsonly water pot,"{'water': 'neutral', 'pots': 'neutral'}",seemsonly,,"[('neutral', 0.5988040566444397), ('disapproval', 0.08765798807144165), ('annoyance', 0.0660453513264656)]","[[{'label': 'disgust', 'score': 0.6377413868904114}, {'label': 'anger', 'score': 0.1368459165096283}, {'label': 'sadness', 'score': 0.11063582450151443}, {'label': 'neutral', 'score': 0.040214914828538895}, {'label': 'fear', 'score': 0.03762686997652054}, {'label': 'surprise', 'score': 0.03320196643471718}, {'label': 'joy', 'score': 0.0037330721970647573}]]",neutral,negative,0.0,neutral
SUBHASISH DASGUPTA,1.0,Less item delivered,2023-12-10,ordered pack of 6 and sent only 4,pack,{'pack': 'neutral'},,"('6', 'CARDINAL')","[('neutral', 0.7763838768005371), ('approval', 0.03520102798938751), ('annoyance', 0.028803782537579536)]","[[{'label': 'surprise', 'score': 0.4673064053058624}, {'label': 'neutral', 'score': 0.2649049460887909}, {'label': 'sadness', 'score': 0.24261663854122162}, {'label': 'anger', 'score': 0.009303761646151543}, {'label': 'joy', 'score': 0.008285600692033768}, {'label': 'disgust', 'score': 0.004291402641683817}, {'label': 'fear', 'score': 0.0032912096939980984}]]",neutral,negative,0.0,neutral
Nisha Singhal,1.0,Supplied 4 bottles container in place of 6 bottles.,2023-12-08,mosquito repellent customer image,mosquito repellent customer image,"{'customer': 'neutral', 'image': 'neutral'}",mosquito repellent,"('mosquito repellent customer', 'PERSON')","[('neutral', 0.4206831157207489), ('annoyance', 0.12494762986898422), ('disappointment', 0.09529333561658859)]","[[{'label': 'neutral', 'score': 0.8591219782829285}, {'label': 'disgust', 'score': 0.06370194256305695}, {'label': 'anger', 'score': 0.027301834896206856}, {'label': 'surprise', 'score': 0.025899918749928474}, {'label': 'sadness', 'score': 0.009452694095671177}, {'label': 'joy', 'score': 0.007397383451461792}, {'label': 'fear', 'score': 0.007124191615730524}]]",neutral,negative,0.0,neutral
Bidyut Ghosh.,1.0,Instead of 6 no. Refill packs only 4 were in the box.,2023-11-21,its like being cheated,,{},,,"[('neutral', 0.41603556275367737), ('annoyance', 0.12492631375789642), ('disapproval', 0.09820516407489777)]","[[{'label': 'sadness', 'score': 0.9422929883003235}, {'label': 'anger', 'score': 0.037863604724407196}, {'label': 'disgust', 'score': 0.008787387982010841}, {'label': 'fear', 'score': 0.004638385027647018}, {'label': 'neutral', 'score': 0.002789969090372324}, {'label': 'joy', 'score': 0.0020807096734642982}, {'label': 'surprise', 'score': 0.001546847983263433}]]",negative,negative,-0.2023,negative
Dr LUK SIN CHEN,1.0,Why only 2 instead of 6 good knight refills,2023-11-18,this i think was tampered and 4 refills stolen kindly help im a regular customer i should get a whole pack with 6 refills of good knight as soon as possible  customer image,regular customer pack refill good knight possible customer image,"{'refills': 'positive', 'customer': 'positive', 'pack': 'positive', 'knight': 'positive', 'image': 'positive'}",regular whole good possible,"('4', 'CARDINAL')","[('neutral', 0.3349415957927704), ('approval', 0.14071577787399292), ('admiration', 0.0894734263420105)]","[[{'label': 'neutral', 'score': 0.5340757966041565}, {'label': 'surprise', 'score': 0.26926857233047485}, {'label': 'joy', 'score': 0.10431786626577377}, {'label': 'sadness', 'score': 0.06509345024824142}, {'label': 'anger', 'score': 0.020832564681768417}, {'label': 'fear', 'score': 0.0054456694051623344}, {'label': 'disgust', 'score': 0.0009661418152973056}]]",positive,negative,0.6808,positive
Kamal kumar Saikia,1.0,Duplicate product,2023-11-01,no effect on mosquitosfilled with water may be,effect water,"{'effect': 'negative', 'water': 'negative'}",,,"[('neutral', 0.5094616413116455), ('disapproval', 0.17726948857307434), ('annoyance', 0.06390001624822617)]","[[{'label': 'neutral', 'score': 0.46846920251846313}, {'label': 'disgust', 'score': 0.17018666863441467}, {'label': 'sadness', 'score': 0.15605705976486206}, {'label': 'anger', 'score': 0.12565338611602783}, {'label': 'surprise', 'score': 0.03631703183054924}, {'label': 'fear', 'score': 0.03309199586510658}, {'label': 'joy', 'score': 0.010224713943898678}]]",negative,negative,-0.296,negative
Rabi b.,1.0,Liquid is not good,2023-10-29,disliked it appears to be filled with some not working liquids exactly you wrote my words only discard the seller immediately one person found this helpful,work liquid word seller immediately person,"{'liquids': 'negative', 'words': 'negative', 'seller': 'negative', 'person': 'negative'}",helpful,"('one', 'CARDINAL')","[('neutral', 0.49351558089256287), ('approval', 0.12705965340137482), ('optimism', 0.08477862924337387)]","[[{'label': 'neutral', 'score': 0.8949916362762451}, {'label': 'surprise', 'score': 0.06779230386018753}, {'label': 'joy', 'score': 0.012779013253748417}, {'label': 'sadness', 'score': 0.010810911655426025}, {'label': 'anger', 'score': 0.006228896789252758}, {'label': 'disgust', 'score': 0.0055929371155798435}, {'label': 'fear', 'score': 0.0018042527372017503}]]",negative,negative,-0.1154,negative
Vibhor s.,1.0,Missing item in order delivered,2023-10-27,incomplete order was deliveredgood night refill packs not received,incomplete order deliveredgood night refill pack,"{'order': 'neutral', 'night': 'neutral', 'refill': 'neutral', 'packs': 'neutral'}",incomplete deliveredgood,,"[('neutral', 0.4318823516368866), ('disappointment', 0.13178135454654694), ('sadness', 0.0879938080906868)]","[[{'label': 'sadness', 'score': 0.78597491979599}, {'label': 'surprise', 'score': 0.10200746357440948}, {'label': 'neutral', 'score': 0.08698181807994843}, {'label': 'anger', 'score': 0.012451433576643467}, {'label': 'joy', 'score': 0.005189923103898764}, {'label': 'disgust', 'score': 0.0038639733102172613}, {'label': 'fear', 'score': 0.003530530957505107}]]",neutral,negative,0.0,neutral
Udayan C.,1.0,Reason for returning the consignment,2023-09-25,the box came in damaged condition so refused to accept and returned,box damage condition,"{'box': 'negative', 'condition': 'negative'}",,,"[('neutral', 0.480145126581192), ('approval', 0.0805501863360405), ('annoyance', 0.07225915789604187)]","[[{'label': 'anger', 'score': 0.8017220497131348}, {'label': 'sadness', 'score': 0.17171576619148254}, {'label': 'neutral', 'score': 0.01005291286855936}, {'label': 'surprise', 'score': 0.007229863200336695}, {'label': 'fear', 'score': 0.004055206198245287}, {'label': 'disgust', 'score': 0.003836358431726694}, {'label': 'joy', 'score': 0.0013876969460397959}]]",negative,negative,-0.3673,negative
Aniruddha Das,1.0,Very Very Bad Night,2023-09-16,i think this liquid is invited mosquitos ,liquid mosquito,"{'liquid': 'neutral', 'mosquitos': 'neutral'}",,,"[('neutral', 0.3933337330818176), ('approval', 0.14436320960521698), ('curiosity', 0.11202844977378845)]","[[{'label': 'joy', 'score': 0.4815009832382202}, {'label': 'fear', 'score': 0.2958320081233978}, {'label': 'anger', 'score': 0.1713399738073349}, {'label': 'surprise', 'score': 0.02272055484354496}, {'label': 'sadness', 'score': 0.022492244839668274}, {'label': 'neutral', 'score': 0.00343573116697371}, {'label': 'disgust', 'score': 0.0026785358786582947}]]",neutral,negative,0.0,neutral
Placeholder,1.0,Waste of money,2023-09-15,duplicate product,duplicate product,{'product': 'neutral'},duplicate,,"[('neutral', 0.6658722758293152), ('disapproval', 0.05620570480823517), ('annoyance', 0.04475178197026253)]","[[{'label': 'neutral', 'score': 0.9373767375946045}, {'label': 'surprise', 'score': 0.018196268007159233}, {'label': 'joy', 'score': 0.013500915840268135}, {'label': 'disgust', 'score': 0.011622111313045025}, {'label': 'sadness', 'score': 0.00933986809104681}, {'label': 'anger', 'score': 0.008541548624634743}, {'label': 'fear', 'score': 0.0014225286431610584}]]",neutral,negative,0.0,neutral
TwoWheels4Ever,1.0,The company is getting greedy,2023-08-31,these refills used to last a month and a half now they barely last 1215 days with 7 hours of use at night very unhappy with this company approach of profits and the price hikes are ridiculous as well unfortunately it’s the only way to not be eaten alive by mosquitoes in mumbai,refill hour use night company approach profit price hike way mosquito mumbai,"{'refills': 'negative', 'month': 'negative', 'half': 'negative', 'days': 'negative', 'hours': 'negative', 'use': 'negative', 'night': 'negative', 'company': 'negative', 'approach': 'negative', 'profits': 'negative', 'price': 'negative', 'hikes': 'negative', 'way': 'negative', 'mosquitoes': 'negative', 'mumbai': 'negative'}",last unhappy ridiculous only alive,"('last a month and a half', 'DATE')","[('neutral', 0.4262374937534332), ('annoyance', 0.153227299451828), ('disappointment', 0.08505424857139587)]","[[{'label': 'sadness', 'score': 0.7605928778648376}, {'label': 'anger', 'score': 0.0917322114109993}, {'label': 'surprise', 'score': 0.08542874455451965}, {'label': 'neutral', 'score': 0.04258088394999504}, {'label': 'joy', 'score': 0.00999870989471674}, {'label': 'fear', 'score': 0.00548779359087348}, {'label': 'disgust', 'score': 0.004178735427558422}]]",negative,negative,-0.6342,negative
vinay,1.0,Size is different and not fix in machine,2023-08-21,size is different and not fix in machine,size machine,"{'size': 'neutral', 'machine': 'neutral'}",different,,"[('neutral', 0.5230304598808289), ('disapproval', 0.2576363682746887), ('approval', 0.05047852545976639)]","[[{'label': 'neutral', 'score': 0.8688535094261169}, {'label': 'surprise', 'score': 0.08081061393022537}, {'label': 'sadness', 'score': 0.022869298234581947}, {'label': 'disgust', 'score': 0.010680376552045345}, {'label': 'anger', 'score': 0.0102416155859828}, {'label': 'joy', 'score': 0.003676649648696184}, {'label': 'fear', 'score': 0.002867907052859664}]]",neutral,negative,0.0,neutral
Rashmi Ranjan behera,1.0,Mene 4 Refil order Kia tha Lekin Pack me 2 product delivered Hua he,2023-07-31,click to play video,video,{'video': 'positive'},,,"[('neutral', 0.7452893257141113), ('approval', 0.04894367232918739), ('annoyance', 0.022250337526202202)]","[[{'label': 'neutral', 'score': 0.8845230937004089}, {'label': 'surprise', 'score': 0.07417725771665573}, {'label': 'joy', 'score': 0.0169671680778265}, {'label': 'sadness', 'score': 0.011271108873188496}, {'label': 'anger', 'score': 0.007863529026508331}, {'label': 'disgust', 'score': 0.0028749273624271154}, {'label': 'fear', 'score': 0.0023228779900819063}]]",positive,negative,0.34,positive
Sumeeta badlani,1.0,Damage pack 1 bottle is missing.,2023-06-29,i got only one bottle  pack carton is opened only one bottle is their  customer image customer image one person found this helpful,bottle pack carton bottle customer image customer image person,"{'bottle': 'positive', 'pack': 'positive', 'customer': 'positive', 'image': 'positive', 'person': 'positive'}",helpful,"('only one', 'CARDINAL')","[('neutral', 0.4149289131164551), ('disappointment', 0.14038506150245667), ('sadness', 0.10157841444015503)]","[[{'label': 'surprise', 'score': 0.41930729150772095}, {'label': 'joy', 'score': 0.3357974886894226}, {'label': 'neutral', 'score': 0.2025470733642578}, {'label': 'sadness', 'score': 0.03547702729701996}, {'label': 'anger', 'score': 0.004590671043843031}, {'label': 'fear', 'score': 0.0013586125569418073}, {'label': 'disgust', 'score': 0.0009218713385052979}]]",positive,negative,0.5023,positive
